,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu
CD8 T cells_stromal_GranzymeB,498.0,0.10906582065345888,0.08875463241584607,0.14697212290077816
CD8 T cells_stromal_Ki67,542.5,0.014907335603508348,0.2079419680714199,0.3492400162153031
CD8 T cells_stromal_CD44,741.0,-0.15057357537879362,0.036727278945317604,0.17820462490868583
CD8 T cells_stromal_pERK,489.0,0.014893136840167409,0.2794545610184812,0.1201090171529209
CD8 T cells_stromal_pMAPKAPK2,524.0,0.013099384634681022,0.6587555864903464,0.2502067772474761
CD8 T cells_stromal_pS6,390.0,0.22226791270083635,0.011494647212059051,0.006967673805496232
CD8 T cells_tumorfront_pp38,608.0,-0.00039282951212601946,0.9745450085500014,0.857840777135536
CD8 T cells_tumorfront_pSTAT1,657.0,-0.003749691929624238,0.605733234666971,0.7072281157926088
CD8 T cells_tumorfront_pSTAT3,563.0,0.0035144253557174016,0.6538256001603322,0.4844525240017341
CD8 T cells_tumorfront_CD36,742.0,-0.038372784522421516,0.05763035985060786,0.17450454490124756
CD8 T cells_tumorfront_E-Cadherin,707.0,-0.03360880041363751,0.4522524717971588,0.3403879705728624
